statistic,region,metric,realonly,completion_plain,completion_focal
mean,TC,large_instance_fp_tc,0.6990291262135923,0.7961165048543689,0.7864077669902912
mean,TC,large_instance_fn_tc,0.9223300970873787,0.8252427184466019,0.8543689320388349
mean,TC,large_instance_f1_tc,0.6890858788968585,0.6974053135364624,0.6974940802495752
mean,TC,lesionwise_dsc_mean_tc,0.6470873517352624,0.652318751391365,0.6470039986098058
mean,TC,lesionwise_dsc_std_tc,0.17607419938671842,0.16744699394135146,0.19325663712290717
mean,TC,lesionwise_hd95_mean_tc,83.8096941638212,79.53371892935503,81.75559978364119
mean,TC,lesionwise_hd95_std_tc,70.68139108475903,69.71863929929204,79.61384040394684
mean,TC,lesionwise_nsd_mean_tc,0.6955874985178262,0.7020919002887753,0.6945131351688232
mean,TC,lesionwise_nsd_std_tc,0.1857271514764804,0.1796353533237219,0.20518773305473365
mean,TC,small_instance_tp_tc,1.6734693877551021,1.7142857142857142,1.836734693877551
mean,TC,small_instance_fn_tc,5.183673469387755,5.142857142857143,5.020408163265306
mean,TC,small_instance_fp_tc,0.7755102040816326,0.7755102040816326,0.8979591836734694
mean,TC,small_instance_f1_tc,0.32364713560786923,0.38584725931664704,0.3772136347800576
mean,WT,all_instance_tp_wt,3.6019417475728157,3.6893203883495147,3.8058252427184467
mean,WT,all_instance_fp_wt,0.7475728155339806,0.8932038834951457,0.970873786407767
mean,WT,all_instance_fn_wt,3.116504854368932,3.029126213592233,2.912621359223301
mean,WT,all_instance_f1_wt,0.710078084437863,0.7237533973786958,0.7122765826533507
mean,WT,large_instance_tp_wt,2.883495145631068,2.970873786407767,3.029126213592233
mean,WT,large_instance_fp_wt,0.7475728155339806,0.8932038834951457,0.970873786407767
mean,WT,large_instance_fn_wt,1.058252427184466,0.970873786407767,0.912621359223301
mean,WT,large_instance_f1_wt,0.6838993450693223,0.6567730237246645,0.6726864001817048
mean,WT,lesionwise_dsc_mean_wt,0.6257293868313193,0.5935392950279651,0.5878194859179169
mean,WT,lesionwise_dsc_std_wt,0.17303329632456524,0.20004824799216123,0.2166720943721933
mean,WT,lesionwise_hd95_mean_wt,86.49735327585425,98.46026727704245,100.86152631358222
mean,WT,lesionwise_hd95_std_wt,73.8623340653315,89.09647160096331,94.71510226145638
mean,WT,lesionwise_nsd_mean_wt,0.621358789257056,0.5931455117616247,0.585793784844541
mean,WT,lesionwise_nsd_std_wt,0.17720310794736047,0.2065219391032682,0.21873223544654155
mean,WT,small_instance_tp_wt,1.2173913043478262,1.2608695652173914,1.3478260869565217
mean,WT,small_instance_fn_wt,5,4.956521739130435,4.869565217391305
mean,WT,small_instance_fp_wt,0.9565217391304348,1.1304347826086956,1.2173913043478262
mean,WT,small_instance_f1_wt,0.2770480375228513,0.33057016898615926,0.3330825149559165
std,ET,all_instance_tp_et,6.630967620336655,6.5489124540536165,6.851446465896295
std,ET,all_instance_fp_et,2.104268503698094,2.3408407685107067,2.982785817264983
std,ET,all_instance_fn_et,10.859274977472491,11.046972377330434,10.62901753251228
std,ET,all_instance_f1_et,0.33574251515350345,0.32077961937250304,0.32395901299622465
std,ET,large_instance_tp_et,4.695222793005312,4.912270521381451,4.8136806121302556
std,ET,large_instance_fp_et,2.104268503698094,2.3408407685107067,2.982785817264983
std,ET,large_instance_fn_et,3.7617510534333416,3.538104024413217,3.584847651725823
std,ET,large_instance_f1_et,0.3837667775850478,0.38640516312374384,0.3819149506963597
std,ET,lesionwise_dsc_mean_et,0.27815357632715704,0.273146036724646,0.26066151232161006
std,ET,lesionwise_dsc_std_et,0.17364798356916206,0.17872611793453388,0.17988337491047057
std,ET,lesionwise_hd95_mean_et,110.05307704540017,104.84203627253638,102.50441775420043
std,ET,lesionwise_hd95_std_et,83.94319434896406,85.16250673484001,83.7246921364674
std,ET,lesionwise_nsd_mean_et,0.28899557633800155,0.27699477737066586,0.2657937656586465
std,ET,lesionwise_nsd_std_et,0.19642112877032666,0.1994758549310335,0.20047333194264857
std,ET,small_instance_tp_et,4.457345008892837,4.1760948000961875,4.478946071344743
std,ET,small_instance_fn_et,13.286204200634502,13.562546609579268,13.296577906921506
std,ET,small_instance_fp_et,2.4207316961711403,2.7356964073324064,3.8033099937505943
std,ET,small_instance_f1_et,0.3237498639811303,0.3608477799128965,0.34399981495998455
std,RC,all_instance_tp_rc,0.37176166963026486,0.310364155476077,0.2837700020247292
std,RC,all_instance_fp_rc,1.8199980544858783,1.3446596787394354,0.23937541673899643
std,RC,all_instance_fn_rc,0.28908699831488066,0.32882926933068374,0.4034403732649047
std,RC,all_instance_f1_rc,0.4009141459742938,0.29387690682262935,0.4693324029762177
std,RC,large_instance_tp_rc,0.3404904582240645,0.2689602488432698,0.2837700020247292
std,RC,large_instance_fp_rc,1.8199980544858783,1.3446596787394354,0.23937541673899643
std,RC,large_instance_fn_rc,0.23536549459929887,0.2837700020247292,0.2689602488432698
std,RC,large_instance_f1_rc,0.2701435873709768,0.20128718348839333,0.2659550120747108
std,RC,lesionwise_dsc_mean_rc,0.3379515601934022,0.2922111940662872,0.366562947763994
std,RC,lesionwise_dsc_std_rc,0.12620505611804222,0.1765220117502107,0.11870494963386724
std,RC,lesionwise_hd95_mean_rc,157.72753035132996,135.4613849198209,176.41579840261028
std,RC,lesionwise_hd95_std_rc,70.22504347256648,91.26837652539426,64.92836990055221
std,RC,lesionwise_nsd_mean_rc,0.27058270394191763,0.2344377084677323,0.28286567398152196
std,RC,lesionwise_nsd_std_rc,0.11285831328649486,0.1526551296507993,0.11451492155117274
std,RC,small_instance_tp_rc,0,0,0
std,RC,small_instance_fn_rc,0.5773502691896257,0.5773502691896257,0.5773502691896257
std,RC,small_instance_fp_rc,0.5773502691896258,1.1547005383792517,0
std,RC,small_instance_f1_rc,0,0,0
std,TC,all_instance_tp_tc,6.630967620336655,6.5489124540536165,6.874732398786223
std,TC,all_instance_fp_tc,1.4268775141264993,1.7842405057536326,1.3978308506389123
std,TC,all_instance_fn_tc,10.801613419543301,10.98756717388035,10.550450804753044
std,TC,all_instance_f1_tc,0.3354192343459225,0.3166384054112336,0.315746090589112
std,TC,large_instance_tp_tc,4.704356786794611,4.920808236727591,4.822452090507372
std,TC,large_instance_fp_tc,1.4268775141264993,1.7842405057536326,1.3978308506389123
std,TC,large_instance_fn_tc,3.7695615815925625,3.5408738936463493,3.5903131301264875
std,TC,large_instance_f1_tc,0.3868871747418115,0.38947575554660024,0.3828705696104655
std,TC,lesionwise_dsc_mean_tc,0.28456074332886633,0.27739452648371477,0.2576536883499438
std,TC,lesionwise_dsc_std_tc,0.17696503916253636,0.18207296498541217,0.18537651676438444
std,TC,lesionwise_hd95_mean_tc,110.4936517717015,105.34175098649904,100.59408208541885
std,TC,lesionwise_hd95_std_tc,81.8382830142792,83.69243412658261,83.47996011315016
std,TC,lesionwise_nsd_mean_tc,0.2904165876506356,0.2796045976707407,0.25934181248934335
std,TC,lesionwise_nsd_std_tc,0.1945007113640774,0.19710253395453,0.20120253597733775
std,TC,small_instance_tp_tc,4.616039766862034,4.320493798938574,4.633874093633346
std,TC,small_instance_fn_tc,13.753292741176194,14.044571905188139,13.757558219512113
std,TC,small_instance_fp_tc,1.1773081252453443,1.5977237209340587,1.1591106137750558
std,TC,small_instance_f1_tc,0.33107244414359743,0.36674677773350367,0.34211364904218616
std,WT,all_instance_tp_wt,5.789340789838435,5.679390201686411,6.00662747113583
std,WT,all_instance_fp_wt,1.3628002212999997,1.4747058288192252,1.294455072566965
std,WT,all_instance_fn_wt,10.41896928671571,10.628722010757134,10.215431230152287
std,WT,all_instance_f1_wt,0.3164181858297843,0.2925373853477208,0.2913378636546694
std,WT,large_instance_tp_wt,4.099978409493096,4.389060176052728,4.389060176052728
std,WT,large_instance_fp_wt,1.3628002212999997,1.4747058288192252,1.294455072566965
std,WT,large_instance_fn_wt,3.4380376377231405,3.17914870427823,3.2240116166424073
std,WT,large_instance_f1_wt,0.3855539717500201,0.38328109496362617,0.36867476745961975
std,WT,lesionwise_dsc_mean_wt,0.29069150288926593,0.29159659643568636,0.27389477199242773
std,WT,lesionwise_dsc_std_wt,0.17766195557215586,0.18262386981259485,0.18156532452007662
std,WT,lesionwise_hd95_mean_wt,108.46260612784037,105.73674486201627,103.43324855250549
std,WT,lesionwise_hd95_std_wt,83.43621605063437,85.70298809752855,85.02382640111202
std,WT,lesionwise_nsd_mean_wt,0.266944204087526,0.26861002927878513,0.25014057909828413
std,WT,lesionwise_nsd_std_wt,0.18025206768878177,0.17953475154736268,0.1827164705050033
std,WT,small_instance_tp_wt,2.8976085425226925,2.6113834784453975,2.8999416952326458
std,WT,small_instance_fn_wt,13.883643453919277,14.189129676135304,13.92616832625571
std,WT,small_instance_fp_wt,1.4900637083938608,1.5720997374661259,1.5042612580157577
std,WT,small_instance_f1_wt,0.31185752535888195,0.34501482135058087,0.33399197707239936
median,ET,all_instance_tp_et,2,1,2
median,ET,all_instance_fp_et,0,0,0
median,ET,all_instance_fn_et,0,0,0
median,ET,all_instance_f1_et,0.7207792207792207,0.7777777777777778,0.788888888888889
median,ET,large_instance_tp_et,1,1,1
median,ET,large_instance_fp_et,0,0,0
median,ET,large_instance_fn_et,0,0,0
median,ET,large_instance_f1_et,0.8333333333333334,0.8571428571428571,0.8275862068965517
median,ET,lesionwise_dsc_mean_et,0.7096578067551574,0.7232369979508945,0.6187280006176513
median,ET,lesionwise_dsc_std_et,0.17006381418572888,0.10259088463463323,0.2489785347038589
median,ET,lesionwise_hd95_mean_et,24.172067630217857,14.168627315304754,66.45579879336003
median,ET,lesionwise_hd95_std_et,2.152363712795,0.7801160311967138,138.17555926790362
median,ET,lesionwise_nsd_mean_et,0.7696326005149534,0.7860282330581667,0.6997609645583396
median,ET,lesionwise_nsd_std_et,0.14550880548969952,0.08524782641960364,0.27836530835928386
median,ET,small_instance_tp_et,1,1,1
median,ET,small_instance_fn_et,2,2,2
median,ET,small_instance_fp_et,0,0,1
median,ET,small_instance_f1_et,0.2,0.3333333333333333,0.36363636363636365
median,RC,all_instance_tp_rc,0,0,0
median,RC,all_instance_fp_rc,0,0,0
median,RC,all_instance_fn_rc,0,0,0
median,RC,all_instance_f1_rc,0,0,0
median,RC,large_instance_tp_rc,0,0,0
median,RC,large_instance_fp_rc,0,0,0
median,RC,large_instance_fn_rc,0,0,0
median,RC,large_instance_f1_rc,0,0,0
median,RC,lesionwise_dsc_mean_rc,0.42443166678778194,0.21844589687726942,0.3295509415741188
median,RC,lesionwise_dsc_std_rc,0,0,0
median,RC,lesionwise_hd95_mean_rc,6.317564968868336,249.86851985255885,188
median,RC,lesionwise_hd95_std_rc,0,0,0
median,RC,lesionwise_nsd_mean_rc,0.3511216382126653,0.22280422859086624,0.30917933751722193
median,RC,lesionwise_nsd_std_rc,0,0,0
median,RC,small_instance_tp_rc,0,0,0
median,RC,small_instance_fn_rc,1,1,1
median,RC,small_instance_fp_rc,0,0,0
median,RC,small_instance_f1_rc,0,0,0
median,TC,all_instance_tp_tc,2,1,2
median,TC,all_instance_fp_tc,0,0,0
median,TC,all_instance_fn_tc,0,0,0
median,TC,all_instance_f1_tc,0.8117647058823529,0.8333333333333334,0.8284313725490196
median,TC,large_instance_tp_tc,1,1,1
median,TC,large_instance_fp_tc,0,0,0
median,TC,large_instance_fn_tc,0,0,0
median,TC,large_instance_f1_tc,0.8888888888888888,0.9,0.8571428571428571
median,TC,lesionwise_dsc_mean_tc,0.7440099269807505,0.7451841333686358,0.6692632935541183
median,TC,lesionwise_dsc_std_tc,0.11692092336689322,0.0545628211660704,0.1841144684212551
median,TC,lesionwise_hd95_mean_tc,11.44707809406686,5.451968193792096,36.465040509609395
median,TC,lesionwise_hd95_std_tc,0.5262194869597867,0.36736161001968626,2.3124377329000136
median,TC,lesionwise_nsd_mean_tc,0.7983613296822987,0.786094661728421,0.7389129506306642
median,TC,lesionwise_nsd_std_tc,0.07125298847093567,0.04768294787344466,0.17143972562963788
median,TC,small_instance_tp_tc,1,1,1
median,TC,small_instance_fn_tc,2,1,1
median,TC,small_instance_fp_tc,0,0,1
median,TC,small_instance_f1_tc,0.3333333333333333,0.4,0.4
median,WT,all_instance_tp_wt,2,2,2
median,WT,all_instance_fp_wt,0,0,1
median,WT,all_instance_fn_wt,0,0,0
median,WT,all_instance_f1_wt,0.7846153846153847,0.7692307692307693,0.7735042735042735
median,WT,large_instance_tp_wt,1,1,1
median,WT,large_instance_fp_wt,0,0,1
median,WT,large_instance_fn_wt,0,0,0
median,WT,large_instance_f1_wt,0.8421052631578947,0.7777777777777778,0.8
median,WT,lesionwise_dsc_mean_wt,0.6798786926577736,0.6181217815068764,0.573109368674752
median,WT,lesionwise_dsc_std_wt,0.08780753024330569,0.21382945298854003,0.2884208961518591
median,WT,lesionwise_hd95_mean_wt,6.164414002968976,69.64958171589745,95.00709331227647
median,WT,lesionwise_hd95_std_wt,0.9018980062684973,128.13583928701402,145.57798295894548
median,WT,lesionwise_nsd_mean_wt,0.6592180975517826,0.6156140598936678,0.6068720175649376
median,WT,lesionwise_nsd_std_wt,0.09068037070053837,0.24951296678116414,0.2970449821526602
median,WT,small_instance_tp_wt,1,1,1
median,WT,small_instance_fn_wt,1.5,1,1
median,WT,small_instance_fp_wt,0,1,1
median,WT,small_instance_f1_wt,0.10230179028132992,0.2484162895927602,0.3106060606060606
