modality,step,bytes,deployed_mtime_utc,sha256,source_host,local_canonical_relative_path,deployed_path,checksum_verified
t1n,145000,53749405,2026-07-20T08:18:21.003865+00:00,a686b0fd449eb0d49cff5a3328fa389d71ad48c6335f8f7eabb4864245aaf923,h20_117.50.196.61,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_145000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_145000.pt,yes
t1n,150000,53749405,2026-07-20T08:18:02.691661+00:00,bc98c9423dad396ee235c89893c308b5e6d340667a8b10880825020b6e976ad6,h20_117.50.196.61,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_150000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t1n/weights/diffusion_150000.pt,yes
t2f,125000,53749405,2026-07-20T08:20:08.012996+00:00,68cff394ec28d557792296ad33ec52ab2450f5fbc6adc5b575b3ab87ffad0af4,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_125000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_125000.pt,yes
t2f,130000,53749405,2026-07-20T08:19:59.160907+00:00,2dc6603d8c89247815133eda228bf3e5ac3bd2f84cc1cee12ad5ca82434fd190,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_130000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_130000.pt,yes
t2f,135000,53749405,2026-07-20T08:19:55.092865+00:00,527baa371b69fac9d765914636312a824d56f3eff62d96773ddbcabe40c9a4d1,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_135000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_135000.pt,yes
t2f,140000,53749405,2026-07-20T08:20:03.904955+00:00,6fe530cd8ddca7d17a9325183cb91f6b5904e7ea224b1ae27846f73c0db00d8f,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_140000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_140000.pt,yes
t2f,145000,53749405,2026-07-20T08:20:12.213039+00:00,cdcd04a4c3236da2059f7d872ec2a28b1f5341a4f03fa485739088a896b98b75,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_145000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_145000.pt,yes
t2f,150000,53749405,2026-07-20T08:19:51.380827+00:00,de2f219fe126dbb7974d61d8fe8697d239d1e0b18f735344feeab36d3f7d9e6c,a800_117.50.198.191,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_150000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2f/weights/diffusion_150000.pt,yes
t2w,125000,53749405,2026-07-20T08:21:54.066028+00:00,75c64343da1c454d53332f0adbe941ff2584dad633b863eed7c181d4d30fe489,a100_117.50.177.229,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_125000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_125000.pt,yes
t2w,130000,53749405,2026-07-20T08:21:47.597968+00:00,635c0b30834209980032450221d8cc2b16b5dc1292b0df640059ec0b163f37fb,a100_117.50.177.229,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_130000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_130000.pt,yes
t2w,135000,53749405,2026-07-20T08:21:44.381937+00:00,29fc4442b98fbdaf7bf234fae56f7a43f500d92bc5b3012845e922568588dc09,a100_117.50.177.229,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_135000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_135000.pt,yes
t2w,140000,53749405,2026-07-20T08:21:50.793998+00:00,fcddba7a746db7b7bb190e86bfb1fef1881e0e0ab971c54ff79f726eba28eca3,a100_117.50.177.229,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_140000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_140000.pt,yes
t2w,145000,53749405,2026-07-20T08:21:57.262058+00:00,198668c613500951111ebbf1e109acea824caae38a2b116c96d71f20c2caa1f3,a100_117.50.177.229,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_145000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_145000.pt,yes
t2w,150000,53749405,2026-07-20T08:21:41.137907+00:00,1b42542f378375406e38a17ca380a608fd0005be4591ef2bcedabca925c3ff60,a100_117.50.177.229,canonical/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_150000.pt,/cloud/cloud-ssd1/brats2026/g1_diffusion_v3_final/checkpoints/brats2026_diffusion_v3_edm_zscore/t2w/weights/diffusion_150000.pt,yes
